species	Overlap_young_chr
Acerodon_mackloti	0.178524
Aegialomys_galapagoensis	0.00166
Agathaeromys_praeuniversitatis	0
Algarolutra_majori	0
Amblyrhiza_inundata	0
Antillomys_rayi	0.019610595
Aonyx_cinereus	0.246408162
Apodemus_argenteus	0.13488
Apodemus_mystacinus_FOSSIL	0.16
Apodemus_speciosus	0.13488
Apodemus_sylvaticus	0.088
Arctictis_binturong	0.28
Arctogalidia_trivirgata	0.153842034
Asoriculus_burgioi	0
Asoriculus_corsicanus	0.039933763
Asoriculus_similis	0
Axis_calamianensis	0.170084893
Axis_kuhlii	0.188240722
Bibos_palaesondaicus	0
Bison_priscus_siciliae	0
Bison_sp_Hondo	0.05909638
Boromys_offella	0.022849172
Boromys_torrei	0.022547466
Bos_javanicus	0.28
Bos_primigenius_bubaloides	0
Bos_primigenius_siciliae	0
Brotomys_contractus	0.015724572
Brotomys_voratus	0.022963118
Bubalus_cebuensis	0
Bubalus_grovesi	0.172459255
Bubalus_mindorensis	0.114475541
Bubalus_palaeokerabau	0
Bubalus_sp_Hondo	0
Bubalus_sp_Luzon	0
Callosciurus_notatus	0.28
Callosciurus_prevostii	0.153342254
Canariomys_bravoi	0.002630918
Canariomys_tamarani	0.005669418
Candiacervus_cerigensis	0
Candiacervus_cretensis	0
Candiacervus_dorothensis	0
Candiacervus_major	0
Candiacervus_rethymnensis	0
Candiacervus_ropalophorus	0
Candiacervus_sp_II	0
Canis_aureus	0.152
Canis_lupus	0.13292
Capreolus_miyakoensis	0.066419437
Capricornis_crispus	0.117647887
Capricornis_sp_Hondo	0.079843205
Capricornis_sumatraensis_FOSSIL	0.28
Capromys_pilorides	0.023616
Capromys_pilorides_lewisi	0.00104599
Catopuma_badia	0.153407785
Cervus_elaphus	0.088
Cervus_elaphus_rossii	0
Cervus_elaphus_siciliae	0.051293679
Cervus_nippon	0.2
Chalinolobus_tuberculatus	0.003
Chasmaporthetes_melei	0
Chimarrogale_platycephalus	0.13292
Cordimus_debuisonjei	0
Cordimus_hooijeri	0.010332051
Crocidura_canariensis	0.009244
Crocidura_dsinezumi	0.13488
Crocidura_foetida	0.153321141
Crocidura_palawanensis	0.13513515
Crocidura_rhoditis	0.037524957
Crocidura_sicula_sicula_FOSSIL	0.088
Crocidura_zimmermanni	0.036
Crocidura_zimmermanni_FOSSIL	0.036
Cynocephalus_volans	0.041244317
Cynopterus_brachyotis	0.188
Cynopterus_horsfieldii	0.153680632
Cynotherium_sardous	0.009064023
Dama_carburangelensis	0.045751775
Dasypterus_insularis	0.024096
Deinogalerix_brevirostris	0
Deinogalerix_koenigswaldi	0
Dobsonia_crenulata	0.084885819
Dobsonia_moluccensis	0.126103729
Dobsonia_peronii	0.188
