species	index_ext_event	pre_sapiens	sapiens
Mesocapromys_nanus	2	0	0.5904
Mesocapromys_sanfelipensis	2	0	0.5904
Microtus_(Terricola)_ex_gr_Microtus_savii	2	0	2.017305519
Microtus_(Tyrrhenicola)_henseli	2	11.58399174	1.007671292
Microtus_miguelensis	0	0	0
Microtus_montebelli	2	0	3.372
Miniopterus_australis	2	0	3.847124938
Miniopterus_macrocneme	2	0	3.372874337
Miniopterus_tristis	2	0	3.070043508
Mogera_wogura	2	0	4.5
Mops_leucostigma	2	0	0.2
Mormoops_blainvillei	2	0	0.6024
Moschiola_kathygre	2	0	2.837244182
Moschiola_meminna	2	0	3.8
Muntiacini_gen_et_sp_indet	2	0	2.242215762
Muntiacus_muntjak	2	1.905534803	7
Mus_cypriacus	2	0	1.25
Mus_lopadusae	0	0	0
Mus_minotaurus	2	10.90423452	0.516899522
Mustela_erminea	2	0	3.323
Mustela_itatsi	2	0	3.372
Mustela_nivalis	2	0	3.323
Mustela_nudipes	2	0	3.076266766
Mydaus_marchei	2	0	2.696504905
Myotis_blythii	2	0	2.2
Myotis_capaccinii	2	7.538889872	2.2
Myotis_goudoti	2	0	0.2
Myotis_macrotarsus	2	0	1.750584722
Myotis_myotis	2	5.525371274	2.2
Myotragus_balearicus	2	0	0.058308438
Mysateles_melanurus	2	0	0.5904
Mysateles_prehensilis	2	0	0.5904
Mystacina_robusta	2	0	0.015389277
Nesiotites_hidalgo	0	0	0
Nyctereutes_viverrinus	2	0	3.372
Nycticebus_coucang	2	0	4.073986391
Nycticebus_javanicus	2	0	1.844197554
Nyctimene_albiventer	2	0	3.5
Nyctimene_cephalotes	2	0	2.668628898
Nyctimene_major	2	0	1.569350214
Nyctophilus_howensis	0	0	0
Nyctophilus_nebulosus	2	0	0.28
Oryzomys_antillarum	2	0	0.083390578
Otomops_madagascariensis	2	0	0.2
Paguma_larvata	2	0	3.091126394
Palaeoloxodon_creutzburgi	1	1.788092689	0
Palaeoloxodon_cypriotes	2	0	0.695148609
Palaeoloxodon_ex_gr_P_mnaidriensis	0	0	0
Palaeoloxodon_sp_Rhodes	0	0	0
Palaeoloxodon_tiliensis	0	0	0
Palaeoloxodon_xylophagou	0	0	0
Panthera_tigris	2	0	6.3
Paradoxurus_hermaphroditus	2	0	3.841990983
Paradoxurus_zeylonensis	2	0	2.846749663
Pennatomys_nivalis	2	0	0.192340435
Peromyscus_nesodytes	2	0	0.891856794
Petaurista_leucogenys	2	0	3.372
Petaurista_petaurista	2	0	1.808251776
Pipistrellus_kuhlii	2	0	0.2311
Pipistrellus_maderensis	2	0	0.153
Plagiodontia_aedium	2	0	0.6024
Plagiodontia_spelaeum	2	0	0.083723821
Plagiodontia_velozi	2	0	0.323132351
Plecotus_teneriffae	2	0	0.153
Pongo_pygmaeus	2	0	3.087299548
Praemegaceros_cazioti	2	11.61017371	0.652421238
Presbytis_femoralis	2	0	0.869129204
Prionailurus_bengalensis	2	4.336339591	7
Prionailurus_planiceps	2	0	3.105097967
Prolagus_sardus	2	11.65236737	1.006870824
Pteropus_dasymallus	2	0	2.4
Pteropus_hypomelanus	2	0	1.657880962
Pteropus_macrotis	2	0	2.11
Pteropus_melanopogon	2	0	2.11
Pteropus_neohibernicus	2	0	3.199155393
Pteropus_niger	2	0	0.0312
Pteropus_rufus	2	0	0.2
Pteropus_tonganus	2	0	0.2719
Pteropus_vampyrus	2	0	3.602060081
Rattus_tiomanicus	2	0	5.246697451
Ratufa_affinis	2	0	4.155782784
Ratufa_bicolor	2	0	2.781650543
Rhagamys_orthodon	2	11.38838198	1.007907599
Rhinolophus_blasii	2	0	2.2
Rhinolophus_creaghi	2	0	1.788657723
Rhinolophus_euryale	2	0	2.2
Rhinolophus_hipposideros	2	9.895064358	2.2
Rousettus_amplexicaudatus	2	0	3.120168824
Rousettus_madagascariensis	2	0	0.2
Rusa_alfredi	2	0	1.92766441
Rusa_marianna	2	2.530283905	4.7
Rusa_timorensis	2	0	4.778182279
Rusa_unicolor	2	0	6.3
Sardolutra_ichnusae	1	1.357705948	0
Sciurus_lis	2	0	3.323
Solenodon_cubanus	2	0	0.5904
Solomys_ponceleti	2	0	2.515457307
Solomys_salebrosus	2	0	2.537688483
Sorex_ornatus	2	0	1.2
Sorex_shinto	2	0	3.372
Spilocuscus_kraemeri	2	0	1.619586048
Spilocuscus_rufoniger	2	0	3.921257955
Spilogale_gracilis	2	0	1.2
Srilankamys_ohiensis	2	0	2.824107834
Stegodon_sumbaensis	1	1.636166437	0
Suncus_murinus	2	0	0.980402971
Sundamys_muelleri	2	0	4.094346003
Sundasciurus_lowii	2	0	3.088880515
Sus_ahoenobarbus	2	0	3.269969349
Sus_barbatus	2	0	6.3
Sus_celebensis	2	0.105089327	4.55
Sus_oliveri	2	0	3.2
