species	index_ext_event	pre_sapiens	sapiens
Lutrogale_cretensis	1	0.33363697	0
Macaca_cyclopis	2	4	0.5
Macaca_fascicularis	2	11.2622376	1.3
Macaca_fuscata	2	0	0.84
Macaca_majori	0	0	0
Macaca_maura	2	0	0.150732188
Macaca_nemestrina	2	0	0.73
Macaca_nigra	2	0	0.151473853
Macaca_sinica	2	0	0.45
Malpaisomys_insularis	2	0	0.019919873
Maltamys_wiedincitensis	0	0	0
Mammuthus_creticus	0	0	0
Mammuthus_exilis	2	0	0.020195591
Mammuthus_lamarmorai	1	3.609242068	0
Manis_culionensis	2	0	0.378355488
Manis_javanica	2	0	0.583715539
Martes_flavigula	2	0	0.295918068
Martes_melampus	2	0	0.609440183
Maxomys_hellwaldii	2	0	0.114112185
Maxomys_musschenbroekii	2	0	0.304840904
Maxomys_panglima	2	0	0.351189977
Megaderma_spasma	2	0	0.314678328
Megalenhydris_barbaricina	1	0.247246473	0
Megalomys_audreyae	2	0	0.034432752
Megalomys_camerhogne	2	0	0.008621956
Megalomys_curazensis	0	0	0
Megalomys_desmarestii	2	0	0.02098622
Megalomys_georginae	2	0	0.035290376
Megalomys_luciae	2	0	0.004819238
Megaoryzomys_curioi	2	0	0.00303233
Meles_anakuma	2	0	0.84
Melogale_everetti	2	0	0.5
Melomys_caurinus	2	0	0.022290713
Melomys_matambuai	2	0	0.190302753
Melomys_talaudium	2	0	0.022288893
Mesocapromys_gracilis	0	0	0
Mesocapromys_kraglievichi	2	0	0.054014785
Mesocapromys_minimus	2	0	0.054862103
Mesocapromys_nanus	2	0	0.05904
Mesocapromys_sanfelipensis	2	0	0.05904
Microtus_(Terricola)_ex_gr_Microtus_savii	2	0	0.185455112
Microtus_(Tyrrhenicola)_henseli	2	3.88866	0.097542577
Microtus_miguelensis	0	0	0
Microtus_montebelli	2	0	0.84
Miniopterus_australis	2	0	0.5
Miniopterus_macrocneme	2	0	0.42199672
Miniopterus_tristis	2	0	0.29572101
Mogera_wogura	2	0	0.84
Mops_leucostigma	2	0	0.069812949
Mormoops_blainvillei	2	0	0.06024
Moschiola_kathygre	2	0	0.369815942
Moschiola_meminna	2	0	0.45
Muntiacini_gen_et_sp_indet	2	0	0.207881465
Muntiacus_muntjak	2	11.7	1.3
Mus_cypriacus	2	0	0.125
Mus_lopadusae	0	0	0
Mus_minotaurus	2	1.13	0.043757516
Mustela_erminea	2	0	0.84
Mustela_itatsi	2	0	0.84
Mustela_nivalis	2	0	0.84
Mustela_nudipes	2	0	0.29506894
Mustelercta_arzilla	0	0	0
Mydaus_marchei	2	0	0.330366059
Myotis_blythii	2	0	0.22
Myotis_capaccinii	2	3.78	0.22
Myotis_goudoti	2	0	0.105
Myotis_macrotarsus	2	0	0.17448964
