species	Duration_overlap_old_chr
Muntiacini_gen_et_sp_indet	0.210962769
Muntiacus_muntjak	1.3
Mus_cypriacus	0.125
Mus_lopadusae	0
Mus_minotaurus	0.042291111
Mustela_erminea	0.84
Mustela_itatsi	0.84
Mustela_nivalis	0.84
Mustela_nudipes	0.374572117
Mustelercta_arzilla	0
Mydaus_marchei	0.369723368
Myotis_blythii	0.22
Myotis_capaccinii	0.22
Myotis_goudoti	0.105
Myotis_macrotarsus	0.177486775
Myotis_myotis	0.22
Myotragus_balearicus	0.005372438
Mysateles_melanurus	0.05904
Mysateles_prehensilis	0.05904
Mystacina_robusta	0.002061892
Nesiotites_hidalgo	0
Nesogoral_cenisae	0
Nesogoral_melonii	0
Nesogoral_sp_2	0
Nesorhinus_hayasakai	0
Nesorhinus_philippinensis	0
Nyctereutes_viverrinus	0.84
Nycticebus_coucang	0.553527104
Nycticebus_javanicus	0.191979761
Nyctimene_albiventer	0.44
Nyctimene_cephalotes	0.350741446
Nyctimene_major	0.12597397
Nyctophilus_howensis	0
Nyctophilus_nebulosus	0.028
Oriensictis_nipponica	0
Oryzomys_antillarum	0.008507514
Otomops_madagascariensis	0.105
Paguma_larvata	0.375275596
Palaeoloxodon_aff_P_creutzburgi	0
Palaeoloxodon_antiquus_leonardi	0
Palaeoloxodon_creutzburgi	0
Palaeoloxodon_cypriotes	0.062871064
Palaeoloxodon_ex_gr_P_mnaidriensis	0
Palaeoloxodon_falconeri	0
Palaeoloxodon_lomolinoi	0
Palaeoloxodon_sp_Rhodes	0
Palaeoloxodon_tiliensis	0
Palaeoloxodon_xylophagou	0
Pannonictis_baroniensis	0
Panthera_tigris	0.84
Paradoxurus_hermaphroditus	0.434790879
Paradoxurus_zeylonensis	0.375937718
Pellegrinia_panormensis	0
Pennatomys_nivalis	0.019938315
Peromyscus_nesodytes	0.103068789
Petaurista_leucogenys	0.84
Petaurista_petaurista	0.198870899
Pipistrellus_kuhlii	0.02311
Pipistrellus_maderensis	0.0153
Plagiodontia_aedium	0.06024
Plagiodontia_spelaeum	0
Plagiodontia_velozi	0.019286586
Plecotus_teneriffae	0.0153
Pongo_pygmaeus	1.3
Praemegaceros_cazioti	0.06551234
Presbytis_femoralis	0.064003393
Prionailurus_bengalensis	1.3
Prionailurus_planiceps	0.375423254
Prolagus_sardus	0.096809654
Pteropus_dasymallus	0.28
Pteropus_hypomelanus	0.174483264
Pteropus_macrotis	0.211
Pteropus_melanopogon	0.211
Pteropus_neohibernicus	0.412494644
Pteropus_niger	0.00312
Pteropus_rufus	0.069010263
Pteropus_tonganus	0.029
Pteropus_vampyrus	0.5
Rattus_tiomanicus	0.667679349
Ratufa_affinis	0.5
Ratufa_bicolor	0.364298799
Rhagamys_orthodon	0.096761689
Rhinolophus_blasii	0.22
Rhinolophus_creaghi	0.177535556
Rhinolophus_euryale	0.22
Rhinolophus_hipposideros	0.22
Rousettus_amplexicaudatus	0.390802601
Rousettus_madagascariensis	0.105
Rusa_alfredi	0.21280097
Rusa_marianna	0.58
Rusa_timorensis	1.3
Rusa_unicolor	0.73
Sardolutra_ichnusae	0
Sciurus_lis	0.84
Solenodon_cubanus	0.05904
Solomys_ponceleti	0.28
Solomys_salebrosus	0.28
