species	index_ext_event	pre_sapiens	sapiens
Malpaisomys_insularis	2	0	0.010742274
Maltamys_wiedincitensis	0	0	0
Mammuthus_creticus	0	0	0
Mammuthus_exilis	2	0	0.011136807
Mammuthus_lamarmorai	1	3.683007556	0
Manis_culionensis	2	0	0.299402365
Manis_javanica	2	0	0.584060106
Martes_flavigula	2	0	0.375389431
Martes_melampus	2	0	0.3372
Maxomys_hellwaldii	2	0	0.140174753
Maxomys_musschenbroekii	2	0	0.303689346
Maxomys_panglima	2	0	0.342554022
Megaderma_spasma	2	0	0.283684699
Megalenhydris_barbaricina	1	0.251077183	0
Megalomys_audreyae	2	0	0.03448032
Megalomys_camerhogne	2	0	0.009042273
Megalomys_curazensis	0	0	0
Megalomys_desmarestii	2	0	0.020876266
Megalomys_georginae	2	0	0.034058448
Megalomys_luciae	2	0	0.004829381
Megaoryzomys_curioi	2	0	0.002895532
Meles_anakuma	2	0	0.3372
Melogale_everetti	2	0	0.45
Melomys_caurinus	2	0	0.021399031
Melomys_matambuai	2	0	0.174951998
Melomys_talaudium	2	0	0.020947967
Mesocapromys_gracilis	0	0	0
Mesocapromys_kraglievichi	2	0	0.054152383
Mesocapromys_minimus	2	0	0.05481666
Mesocapromys_nanus	2	0	0.05904
Mesocapromys_sanfelipensis	2	0	0.05904
Microtus_(Terricola)_ex_gr_Microtus_savii	2	0	0.190507714
Microtus_(Tyrrhenicola)_henseli	2	3.88866	0.096803449
Microtus_miguelensis	0	0	0
Microtus_montebelli	2	0	0.3372
Miniopterus_australis	2	0	0.45
Miniopterus_macrocneme	2	0	0.43
Miniopterus_tristis	2	0	0.374878788
Mogera_wogura	2	0	0.45
Mops_leucostigma	2	0	0.02
Mormoops_blainvillei	2	0	0.06024
Moschiola_kathygre	2	0	0.37723186
Moschiola_meminna	2	0	0.38
Muntiacini_gen_et_sp_indet	2	0	0.210962769
Muntiacus_muntjak	2	12.3	0.7
Mus_cypriacus	2	0	0.125
Mus_lopadusae	0	0	0
Mus_minotaurus	2	1.15	0.022291111
Mustela_erminea	2	0	0.3323
Mustela_itatsi	2	0	0.3372
Mustela_nivalis	2	0	0.3323
Mustela_nudipes	2	0	0.374572117
Mustelercta_arzilla	0	0	0
Mydaus_marchei	2	0	0.369723368
Myotis_blythii	2	0	0.22
Myotis_capaccinii	2	3.78	0.22
Myotis_goudoti	2	0	0.02
Myotis_macrotarsus	2	0	0.177486775
Myotis_myotis	2	3.78	0.22
Myotragus_balearicus	2	0	0.003782438
Mysateles_melanurus	2	0	0.05904
Mysateles_prehensilis	2	0	0.05904
Mystacina_robusta	2	0	0.002061892
Nesiotites_hidalgo	0	0	0
Nesogoral_cenisae	0	0	0
Nesogoral_melonii	0	0	0
Nesogoral_sp_2	0	0	0
Nesorhinus_hayasakai	1	0.868757117	0
Nesorhinus_philippinensis	1	5.226528793	0
Nyctereutes_viverrinus	2	0	0.3372
Nycticebus_coucang	2	0	0.47
Nycticebus_javanicus	2	0	0.191979761
Nyctimene_albiventer	2	0	0.35
Nyctimene_cephalotes	2	0	0.350741446
Nyctimene_major	2	0	0.12597397
