time_ext,rate_ext,minHPD_ext,maxHPD_ext
-0.025046307,1.694116661,1.207292735,2.270592195
-0.075138921,1.694116661,1.207292735,2.270592195
-0.125231535,1.694116661,1.207292735,2.270592195
-0.175324149,0.107943507,0.05378046,1.382841234
-0.225416763,0.103568175,0.065564883,0.144755254
-0.275509376,0.103575974,0.065679869,0.144754021
-0.32560199,0.103630067,0.065674355,0.14440496
-0.375694604,0.103666145,0.06631143,0.144755254
-0.425787218,0.1037075,0.066788152,0.144944197
-0.475879832,0.103802699,0.067042762,0.144652497
-0.525972446,0.103874807,0.067021318,0.144334729
-0.57606506,0.103886883,0.067177553,0.144414703
-0.626157674,0.103863398,0.067179616,0.144398375
-0.676250288,0.103860804,0.067179616,0.144389524
-0.726342902,0.103851067,0.067177553,0.144375654
-0.776435515,0.103853486,0.067177553,0.144402112
-0.826528129,0.10385236,0.067048059,0.144320914
-0.876620743,0.103833631,0.067038793,0.14440496
-0.926713357,0.10381917,0.066925755,0.144402112
-0.976805971,0.103791632,0.067044103,0.144755254
-1.026898585,0.103820029,0.067016138,0.144942241
-1.076991199,0.103736578,0.066149005,0.144942241
-1.127083813,0.103512122,0.06439066,0.144942241
-1.177176427,0.10326693,0.064130097,0.147966329
-1.227269041,0.102153222,0.053629108,0.162206932
-1.277361654,0.099227,0.018403969,0.135488183
-1.327454268,0.093959151,0.016863533,0.131220771
-1.377546882,0.087668822,0.016200729,0.127255727
-1.427639496,0.076375364,0.015436273,0.122057618
-1.47773211,0.029052281,0.015418284,0.116978658
-1.527824724,0.026255016,0.014891143,0.112891337
-1.577917338,0.025001388,0.01449923,0.108743878
-1.628009952,0.024159131,0.014153661,0.103402905
-1.678102566,0.023727315,0.014153661,0.100197775
-1.72819518,0.023288736,0.013698466,0.094968993
-1.778287793,0.023027795,0.013676872,0.09163244
-1.828380407,0.022840321,0.013686276,0.088478729
-1.878473021,0.022580371,0.013529275,0.083125469
-1.928565635,0.02241336,0.013215811,0.078143156
-1.978658249,0.022267411,0.012707752,0.072290296
-2.028750863,0.022174224,0.012147316,0.066117904
-2.078843477,0.022101352,0.010365161,0.05289147
-2.128936091,0.022063437,0.011842515,0.035240973
-2.179028705,0.022011593,0.013009718,0.03276945
-2.229121319,0.02197768,0.013529275,0.032150786
-2.279213932,0.021944669,0.013693832,0.031369931
-2.329306546,0.021899496,0.013888466,0.030724098
-2.37939916,0.02188879,0.013977623,0.030624121
-2.429491774,0.021871268,0.014254474,0.030627544
-2.479584388,0.0218521,0.014152798,0.030253451
-2.529677002,0.021838815,0.014328019,0.030216244
-2.579769616,0.021816099,0.01449923,0.030127588
-2.62986223,0.021800644,0.01437371,0.029806741
-2.679954844,0.021792772,0.014493238,0.029808047
-2.730047458,0.021781273,0.014500348,0.029676136
-2.780140071,0.021772854,0.01449923,0.029583696
-2.830232685,0.021768894,0.01449923,0.029520475
