mids,counts
-0.02502947,0
-0.075088411,0
-0.125147351,0
-0.175206292,0
-0.225265233,0
-0.275324173,0
-0.325383114,0
-0.375442054,0
-0.425500995,0
-0.475559936,0
-0.525618876,0
-0.575677817,0
-0.625736757,0
-0.675795698,0
-0.725854639,0
-0.775913579,0
-0.82597252,0
-0.87603146,0
-0.926090401,0
-0.976149341,0.100222717
-1.026208282,0.699175947
-1.076267223,0.200601336
-1.126326163,0
-1.176385104,0
-1.226444044,0
-1.276502985,0
-1.326561926,0
-1.376620866,0
-1.426679807,0
-1.476738747,0
-1.526797688,0
-1.576856629,0
-1.626915569,0
-1.67697451,0
-1.72703345,0
-1.777092391,0
-1.827151331,0
-1.877210272,0
-1.927269213,0
-1.977328153,1.11E-05
-2.027387094,0.035289532
-2.077446034,0.039844098
-2.127504975,0.024766147
-2.177563916,0.025668151
-2.227622856,0.026325167
-2.277681797,0.017951002
-2.327740737,0.002817372
-2.377799678,0.001269488
-2.427858618,0.001514477
-2.477917559,0.001202673
-2.5279765,0.000824053
-2.57803544,0.000378619
-2.628094381,0.000378619
-2.678153321,0.000345212
-2.728212262,0.000334076
-2.778271203,0.001224944
-2.828330143,0.000412027
-2.878389084,0.000256125
-2.928448024,0.000334076
-2.978506965,0.000233853
-3.028565906,0.000278396
-3.078624846,0.000244989
-3.128683787,0.000122494
-3.178742727,7.80E-05
-3.228801668,0.000122494
-3.278860608,0.000100223
-3.328919549,0.000122494
-3.37897849,0.000167038
-3.42903743,0.000222717
-3.479096371,0.000167038
-3.529155311,0.00018931
-3.579214252,0.003953229
-3.629273193,0.000122494
-3.679332133,0.00013363
-3.729391074,0.000378619
-3.779450014,0.000601336
-3.829508955,0.000556793
-3.879567896,0.000478842
-3.929626836,0.000634744
-3.979685777,0.00155902
-4.029744717,0.0027951
-4.079803658,0.002082405
-4.129862598,0.00096882
-4.179921539,0.001403118
-4.22998048,0.00201559
-4.28003942,0.001436526
-4.330098361,0.001492205
-4.380157301,0.001525612
-4.430216242,0.000957684
-4.480275183,0.001447661
-4.530334123,0.001224944
-4.580393064,0.002160356
-4.630452004,0.005846325
-4.680510945,0.001191537
-4.730569886,0.001904232
-4.780628826,0.001325167
-4.830687767,0.002906459
-4.880746707,0.000991091
-4.930805648,0.002828508
-4.980864588,0.001726058
-5.030923529,0.012293987
-5.08098247,0.004899777
-5.13104141,0.052082405
-5.181100351,0.001057906
-5.231159291,0.000957684
-5.281218232,0.006046771
-5.331277173,0.00096882
-5.381336113,0.000790646
-5.431395054,0.000345212
-5.481453994,0.001536748
-5.531512935,0.023563474
-5.581571876,0.006213808
-5.631630816,0.002060134
-5.681689757,0.016915367
-5.731748697,0.011347439
-5.781807638,0.006447661
-5.831866578,0.005144766
-5.881925519,0.002772829
-5.93198446,0.001792873
-5.9820434,0.003563474
-6.032102341,0.000478842
-6.082161281,0.002706013
-6.132220222,0.000612472
-6.182279163,0.000957684
-6.232338103,0.000445434
-6.282397044,0.002594655
-6.332455984,0.000267261
-6.382514925,6.68E-05
-6.432573865,0.00018931
-6.482632806,0.000144766
-6.532691747,0.000167038
-6.582750687,0.000367483
-6.632809628,0.000267261
-6.682868568,0.000111359
-6.732927509,0.000311804
-6.78298645,0.000100223
-6.83304539,0.00013363
-6.883104331,0.000211581
-6.933163271,0.000233853
-6.983222212,0.000256125
-7.033281153,0.000244989
-7.083340093,0.000222717
-7.133399034,0.000267261
-7.183457974,0.000523385
-7.233516915,0.000267261
-7.283575855,0.00013363
-7.333634796,0.000300668
-7.383693737,0.000100223
-7.433752677,0.000278396
-7.483811618,0.000311804
-7.533870558,0.000556793
-7.583929499,0.000289532
-7.63398844,0.005601336
-7.68404738,0.000233853
-7.734106321,0.001436526
-7.784165261,0.066726058
-7.834224202,0.000501114
-7.884283143,0.000501114
-7.934342083,0.001158129
-7.984401024,0.000712695
-8.034459964,0.001013363
-8.084518905,0.000757238
-8.134577845,0.00096882
-8.184636786,0.000701559
-8.234695727,0.002071269
-8.284754667,0.001224944
-8.334813608,0.002594655
-8.384872548,0.001414254
-8.434931489,0.00174833
-8.48499043,0.001224944
-8.53504937,0.002138085
-8.585108311,0.001971047
-8.635167251,0.002282851
-8.685226192,0.002193764
