time_ext,rate_ext,minHPD_ext,maxHPD_ext
-0.377161075,1.136057987,0.133280875,1.302602329
-1.131483225,1.136057987,0.133280875,1.302602329
-1.885805375,0.164716652,0.000447475,0.467914296
-2.640127525,0.17627587,0.036826866,0.483727868
-3.394449675,0.1830246,0.035235054,0.507982748
-4.148771825,0.165905313,0.033887459,0.480999156
-4.903093975,0.165660479,0.026731513,0.521444771
-5.657416125,0.168307756,0.019495873,0.76662099
-6.411738275,0.169674247,0.027063924,0.855859817
-7.166060425,0.168908852,0.014687187,0.860904351
-7.920382575,0.168705331,0.005003506,0.855859817
-8.674704725,0.16867265,0.002932182,0.855792757
-9.429026875,0.169878543,0.002219796,0.859393329
-10.18334903,0.171989363,0.002418924,0.894025539
-10.93767118,0.174663785,0.001601175,0.966244764
-11.69199333,0.238974031,4.79356E-05,1.091314953
-12.44631548,0.332038506,7.86903E-05,1.195310887
-13.20063763,0.387724669,1.29563E-06,1.376721458
-13.95495978,0.418566322,1.29563E-06,2.63745735
-14.70928193,0.417403926,1.29563E-06,2.657962574
-15.46360408,0.376424013,1.29563E-06,2.67685099
-16.21792623,0.384859167,1.29563E-06,2.716332349
-16.97224838,0.40744743,1.29563E-06,2.737830615
-17.72657053,0.403995218,1.29563E-06,2.738934795
-18.48089268,0.403014843,1.29563E-06,2.742004103
-19.23521483,0.40537914,1.29563E-06,2.746210562
-19.98953698,0.407597757,1.29563E-06,2.75199769
-20.74385913,0.41901508,1.29563E-06,2.765644174
-21.49818128,0.425489421,1.29563E-06,2.750920074
-22.25250343,0.526011778,1.29563E-06,2.886222263
-23.00682558,0.774922605,1.29563E-06,2.720718216
-23.76114773,0.137692973,2.10839E-06,1.353417085
-24.51546988,0.095192181,1.29563E-06,0.584403046
-25.26979203,0.095319502,1.29563E-06,0.58664297
-26.02411418,0.107785002,1.29563E-06,0.748796979
-26.77843633,0.327237615,4.79356E-05,1.138936234
-27.53275848,0.411480827,0.001046224,1.203277607
-28.28708063,0.227183811,0.001046224,1.125046083
-29.04140278,0.17423141,0.000478633,0.770995988
-29.79572493,0.175239323,0.00045696,0.777706666
-30.55004708,0.155340045,1.29563E-06,1.313696902
-31.30436923,0.160786362,4.83023E-07,1.553411439
-32.05869138,0.159830693,4.83023E-07,1.570195207
-32.81301353,0.160119579,4.83023E-07,1.573523539
-33.56733568,0.16299227,4.83023E-07,1.818850017
-34.32165783,0.237355628,5.89756E-05,3.701950227
-35.07597998,0.234819672,5.89756E-05,3.941979774
-35.83030213,0.291899964,0.000389591,5.218760484
-36.58462428,0.269276452,0.000420162,5.217650418
-37.33894643,0.264229678,0.000420162,5.217650418
-38.09326858,0.263028938,0.000389591,5.214588899
-38.84759073,0.262496828,0.000389591,5.215104854
-39.60191288,0.262496828,0.000389591,5.215104854
-40.35623503,0.195339911,0.000389591,1.675175573
-41.11055718,0.194923823,0.000389591,1.676097386
-41.86487933,0.194294624,0.000420162,1.678455161
-42.61920148,0.193682289,0.000389591,1.681845675
-43.37352363,0.192479267,0.000389591,1.691059196
-44.12784578,0.192016359,0.000389591,1.692325996
-44.88216793,0.191999487,0.000420162,1.698912227
-45.63649008,0.191635234,0.000389591,1.699950993
-46.39081223,0.191466681,0.00045696,1.707903992
-47.14513438,0.191125591,0.00045696,1.70988704
-47.89945653,0.186449227,0.000389591,1.658888953
-48.65377868,0.169979717,0.000174315,1.51002057
-49.40810083,0.168572428,0.000174315,1.491791475
-50.16242298,0.167109193,0.000174315,1.489479141
-50.91674513,0.166460541,0.000174315,1.497445323
-51.67106728,0.166198734,0.000174315,1.508284312
-52.42538943,0.166263464,0.000174315,1.518461809
-53.17971158,0.166263464,0.000174315,1.540145314
-53.93403373,0.166342147,0.000174315,1.549450004
-54.68835588,0.166463098,0.000174315,1.555819082
-55.44267803,0.166530367,0.000174315,1.568618919
-56.19700018,0.166719467,0.000174315,1.581716724
-56.95132233,0.166810085,0.000174315,1.605273317
-57.70564448,0.166941313,0.000174315,1.627119354
-58.45996663,0.167202675,0.000174315,1.664923815
-59.21428878,0.167325434,0.000174315,1.703707641
-59.96861093,0.167597512,0.000174315,1.765964608
-60.72293308,0.168009257,0.000174315,1.850590471
-61.47725523,0.168420542,0.000174315,1.969184165
-62.23157738,0.168724296,8.23536E-05,2.078009019
-62.98589953,0.16931696,8.23536E-05,2.208883172
-63.74022168,0.170033768,8.23536E-05,2.349333433
-64.49454383,0.171041169,8.23536E-05,2.457736966
-65.24886598,0.173130771,8.23536E-05,2.560442882
-66.00318813,0.1732864,8.23536E-05,2.609750352
-66.75751028,0.174387472,8.23536E-05,2.796303324
-67.51183243,0.232785698,8.23536E-05,5.097118842
-68.26615458,0.2606939,8.23536E-05,5.100087536
-69.02047673,0.196418629,1.60769E-05,3.069780161
-69.77479888,0.188049198,1.60769E-05,3.102646424
-70.52912103,0.198703273,1.60769E-05,4.898196371
-71.28344318,0.258283174,1.60769E-05,4.886759227
-72.03776533,0.17144322,1.60769E-05,2.678049723
-72.79208748,0.172479805,1.60769E-05,2.73952461
-73.54640963,0.189492026,1.60769E-05,4.435355926
-74.30073178,0.405544347,8.23536E-05,8.378028522
-75.05505393,0.319381139,6.81054E-05,8.37711839
