time_ext,rate_ext,minHPD_ext,maxHPD_ext
-0.02504485,0.705328343,0.621984617,0.789952447
-0.07513455,0.705328343,0.621984617,0.789952447
-0.12522425,0.705328343,0.621984617,0.789952447
-0.175313951,0.705328343,0.621984617,0.789952447
-0.225403651,0.705328343,0.621984617,0.789952447
-0.275493351,0.705328343,0.621984617,0.789952447
-0.325583051,0.705328343,0.621984617,0.789952447
-0.375672751,0.705328343,0.621984617,0.789952447
-0.425762452,0.705328343,0.621984617,0.789952447
-0.475852152,0.705328343,0.621984617,0.789952447
-0.525941852,0.705328343,0.621984617,0.789952447
-0.576031552,0.705328343,0.621984617,0.789952447
-0.626121252,0.705328343,0.621984617,0.789952447
-0.676210953,0.705328343,0.621984617,0.789952447
-0.726300653,0.705328343,0.621984617,0.789952447
-0.776390353,0.705328343,0.621984617,0.789952447
-0.826480053,0.705328343,0.621984617,0.789952447
-0.876569753,0.705328343,0.621984617,0.789952447
-0.926659454,0.705328343,0.621984617,0.789952447
-0.976749154,0.705328343,0.621984617,0.789952447
-1.026838854,0.696523368,0.163162083,0.791172671
-1.076928554,0.194863402,0.118598381,0.285135316
-1.127018254,0.194407139,0.121279712,0.27822215
-1.177107955,0.194250618,0.122795538,0.277896291
-1.227197655,0.194248988,0.122799769,0.277896291
-1.277287355,0.194248988,0.122799769,0.277896291
-1.327377055,0.194248988,0.122799769,0.277896291
-1.377466755,0.194231741,0.122799769,0.277896291
-1.427556456,0.1941393,0.122799769,0.277896291
-1.477646156,0.194017668,0.122799769,0.277896291
-1.527735856,0.193970532,0.122799769,0.277896291
-1.577825556,0.193953978,0.122799769,0.277896291
-1.627915256,0.193935666,0.122799769,0.277896291
-1.678004957,0.193935666,0.122799769,0.277896291
-1.728094657,0.19392867,0.122799769,0.277896291
-1.778184357,0.19392867,0.122799769,0.277896291
-1.828274057,0.19392867,0.122799769,0.277896291
-1.878363757,0.19392867,0.122799769,0.277896291
-1.928453458,0.19392867,0.122799769,0.277896291
-1.978543158,0.19392867,0.122799769,0.277896291
-2.028632858,0.193869438,0.122338701,0.27822215
-2.078722558,0.17263328,0.047306922,0.251430709
-2.128812258,0.135733724,0.04433633,0.238761649
-2.178901959,0.067235548,0.043333649,0.228243187
-2.228991659,0.06430848,0.042736353,0.219176551
-2.279081359,0.062640472,0.042553657,0.210158665
-2.329171059,0.061610901,0.042144405,0.198909697
-2.379260759,0.061136425,0.041971046,0.191365358
-2.42935046,0.060757886,0.041876008,0.18176573
-2.47944016,0.060495866,0.040453218,0.170775259
-2.52952986,0.060274686,0.039764613,0.158300585
-2.57961956,0.060120887,0.012962667,0.090063734
-2.62970926,0.05998846,0.030994411,0.090085061
-2.679798961,0.059910391,0.038729755,0.085972122
-2.729888661,0.059874199,0.040712961,0.083953849
-2.779978361,0.059813266,0.041988958,0.081810389
-2.830068061,0.059779381,0.04231461,0.080325691
-2.880157761,0.059759193,0.04308171,0.080321161
-2.930247462,0.059750463,0.04321249,0.079951169
-2.980337162,0.059740784,0.043394574,0.079755311
-3.030426862,0.05973733,0.043263047,0.079375209
-3.080516562,0.059731401,0.043487808,0.079373713
-3.130606262,0.059726372,0.043810447,0.079375209
-3.180695963,0.059724344,0.043381403,0.07881593
-3.230785663,0.059726372,0.043562933,0.078818545
-3.280875363,0.059726712,0.043712228,0.078857283
-3.330965063,0.059727437,0.043805689,0.078835614
-3.381054763,0.059730903,0.043838255,0.078781446
-3.431144464,0.059732535,0.043990809,0.078864831
-3.481234164,0.059736636,0.044035793,0.078835614
-3.531323864,0.059743036,0.044127879,0.078818545
-3.581413564,0.059752404,0.043568449,0.078168436
-3.631503264,0.059756556,0.043723261,0.078214285
-3.681592964,0.059763783,0.043810447,0.078168436
-3.731682665,0.059769737,0.043906772,0.078214285
-3.781772365,0.059773248,0.043961063,0.078214285
-3.831862065,0.059801202,0.044035793,0.077978299
-3.881951765,0.059810328,0.044103928,0.077978858
-3.932041465,0.059826294,0.044117171,0.077890121
-3.982131166,0.059832964,0.044138631,0.077857243
-4.032220866,0.05984583,0.04433633,0.077965611
-4.082310566,0.05985389,0.04433633,0.077900716
-4.132400266,0.059869226,0.044399893,0.077859809
-4.182489966,0.059901557,0.044404382,0.077749681
-4.232579667,0.059916314,0.044404382,0.077659566
-4.282669367,0.059929567,0.044350118,0.07751549
-4.332759067,0.059944043,0.04433633,0.077426231
-4.382848767,0.059967952,0.044399893,0.077403215
-4.432938467,0.0599778,0.044140995,0.07709891
-4.483028168,0.059987911,0.04417903,0.077101392
-4.533117868,0.05999949,0.044247722,0.077139209
-4.583207568,0.060011856,0.04433633,0.077128251
