time_ext,rate_ext,minHPD_ext,maxHPD_ext
-0.025001562,1.133633904,0.11482847,1.288010165
-0.075004687,1.133633904,0.11482847,1.288010165
-0.125007811,1.133633904,0.11482847,1.288010165
-0.175010936,1.133633904,0.11482847,1.288010165
-0.22501406,1.133633904,0.11482847,1.288010165
-0.275017185,1.133633904,0.11482847,1.288010165
-0.325020309,1.133633904,0.11482847,1.288010165
-0.375023434,1.133633904,0.11482847,1.288010165
-0.425026558,1.133633904,0.11482847,1.288010165
-0.475029683,1.133633904,0.11482847,1.288010165
-0.525032807,1.133633904,0.11482847,1.288010165
-0.575035932,1.133633904,0.11482847,1.288010165
-0.625039056,1.133633904,0.11482847,1.288010165
-0.675042181,1.133633904,0.11482847,1.288010165
-0.725045305,1.133633904,0.11482847,1.288010165
-0.77504843,1.133633904,0.11482847,1.288010165
-0.825051554,1.133633904,0.11482847,1.288010165
-0.875054679,1.133633904,0.11482847,1.288010165
-0.925057803,1.133633904,0.11482847,1.288010165
-0.975060928,1.133633904,0.11482847,1.288010165
-1.025064052,1.133633904,0.11482847,1.288010165
-1.075067177,0.166214146,7.40069E-05,1.466632832
-1.125070301,0.166152602,7.40069E-05,1.466632832
-1.175073426,0.166140401,7.40069E-05,1.466632832
-1.22507655,0.166140401,7.40069E-05,1.466632832
-1.275079674,0.166140401,7.40069E-05,1.466632832
-1.325082799,0.166140401,7.40069E-05,1.466632832
-1.375085923,0.166140401,7.40069E-05,1.466632832
-1.425089048,0.166140401,7.40069E-05,1.466632832
-1.475092172,0.166140401,7.40069E-05,1.466632832
-1.525095297,0.166140401,7.40069E-05,1.466632832
-1.575098421,0.166140401,7.40069E-05,1.466632832
-1.625101546,0.166140401,7.40069E-05,1.466632832
-1.67510467,0.166140401,7.40069E-05,1.466632832
-1.725107795,0.166140401,7.40069E-05,1.466632832
-1.775110919,0.166140401,7.40069E-05,1.466632832
-1.825114044,0.166140401,7.40069E-05,1.466632832
-1.875117168,0.166140401,7.40069E-05,1.466632832
-1.925120293,0.166140401,7.40069E-05,1.466632832
-1.975123417,0.166140401,7.40069E-05,1.466632832
-2.025126542,0.166140401,7.40069E-05,1.466632832
-2.075129666,0.166150887,7.40069E-05,1.466632832
-2.125132791,0.166161981,7.40069E-05,1.466632832
-2.175135915,0.166166302,7.40069E-05,1.466845706
-2.22513904,0.166171521,7.40069E-05,1.466845706
-2.275142164,0.166171521,7.40069E-05,1.466845706
-2.325145289,0.166171521,7.40069E-05,1.466845706
-2.375148413,0.166174919,7.40069E-05,1.466845706
-2.425151538,0.16617986,7.40069E-05,1.466860185
-2.475154662,0.166184732,7.40069E-05,1.466860185
-2.525157787,0.166189198,7.40069E-05,1.466860185
-2.575160911,0.166192302,7.40069E-05,1.466860185
-2.625164036,0.166199259,7.40069E-05,1.466860185
-2.67516716,0.166199813,7.40069E-05,1.466860185
-2.725170285,0.166200593,8.36961E-05,1.466899544
-2.775173409,0.166205524,8.36961E-05,1.466899544
-2.825176534,0.166202225,8.36961E-05,1.466899544
-2.875179658,0.166200593,8.36961E-05,1.466899544
-2.925182783,0.166196604,8.36961E-05,1.466899544
-2.975185907,0.166196604,8.36961E-05,1.466899544
-3.025189032,0.166194398,8.36961E-05,1.466899544
-3.075192156,0.166192302,8.36961E-05,1.466899544
-3.125195281,0.166194398,8.36961E-05,1.466899544
-3.175198405,0.166192302,7.40069E-05,1.466899544
-3.22520153,0.166186849,7.40069E-05,1.466899544
-3.275204654,0.166186849,7.40069E-05,1.466983641
-3.325207779,0.16617986,7.40069E-05,1.466983641
-3.375210903,0.166174919,7.40069E-05,1.466983641
-3.425214028,0.166171521,7.40069E-05,1.466983641
-3.475217152,0.166169932,7.40069E-05,1.467035661
-3.525220277,0.166159993,7.40069E-05,1.467035661
-3.575223401,0.166154103,7.40069E-05,1.467111427
-3.625226526,0.166138106,7.40069E-05,1.467277722
-3.67522965,0.166105231,7.40069E-05,1.467331597
-3.725232774,0.166077184,7.40069E-05,1.46735053
-3.775235899,0.166055249,8.36961E-05,1.467455481
-3.825239023,0.166048357,7.40069E-05,1.467455481
-3.875242148,0.166031875,7.40069E-05,1.467455481
-3.925245272,0.166000615,7.40069E-05,1.467527381
-3.975248397,0.165996641,7.40069E-05,1.467616659
-4.025251521,0.165973506,7.40069E-05,1.467616659
-4.075254646,0.165963205,7.40069E-05,1.467616659
-4.12525777,0.165934518,7.40069E-05,1.467616659
-4.175260895,0.165943695,7.40069E-05,1.467616659
-4.225264019,0.165947226,7.40069E-05,1.467643611
-4.275267144,0.165948312,7.40069E-05,1.467643611
-4.325270268,0.165937411,7.40069E-05,1.467616659
-4.375273393,0.165937411,7.40069E-05,1.467616659
-4.425276517,0.165931308,7.40069E-05,1.467616659
-4.475279642,0.165930562,7.40069E-05,1.467616659
-4.525282766,0.165928288,7.40069E-05,1.467616659
-4.575285891,0.165922768,7.40069E-05,1.467616659
-4.625289015,0.165905405,7.40069E-05,1.467616659
-4.67529214,0.16588888,7.40069E-05,1.467643611
