mids,counts
-0.025151304,0
-0.075453911,0
-0.125756518,0.799554566
-0.176059125,0.200445434
-0.226361732,0.000501114
-0.276664339,0.000946548
-0.326966946,0.001959911
-0.377269553,0.002282851
-0.42757216,0.002616927
-0.477874767,0.001169265
-0.528177374,0.00091314
-0.578479981,0.003218263
-0.628782588,0.003418708
-0.679085195,0.008908686
-0.729387802,0.006870824
-0.779690409,0.008841871
-0.829993016,0.007572383
-0.880295623,0.01155902
-0.93059823,0.011458797
-0.980900837,0.012928731
-1.031203444,0.015890869
-1.081506051,0.015957684
-1.131808658,0.027928731
-1.182111265,0.048396437
-1.232413872,0.069510022
-1.282716479,0.101837416
-1.333019086,0.092316258
-1.383321693,0.090612472
-1.4336243,0.067873051
-1.483926907,0.066002227
-1.534229514,0.058240535
-1.584532121,0.046158129
-1.634834728,0.030122494
-1.685137335,0.020022272
-1.735439942,0.016536748
-1.785742549,0.009621381
-1.836045156,0.005489978
-1.886347763,0.00285078
-1.93665037,0.003819599
-1.986952977,0.003207127
-2.037255584,0.002616927
-2.087558191,0.002494432
-2.137860798,0.002405345
-2.188163405,0.005356347
-2.238466012,0.007182628
-2.288768619,0.041848552
-2.339071226,0.023930958
-2.389373833,0.050233853
-2.43967644,0.017750557
-2.489979047,0.011358575
-2.540281654,0.004899777
-2.590584261,0.003953229
-2.640886868,0.006570156
-2.691189475,0.00233853
-2.741492082,0.002060134
-2.791794689,0.001948775
-2.842097296,0.001536748
-2.892399903,0.000824053
-2.94270251,0.000902004
-2.993005117,0.000467706
-3.043307724,0.000423163
-3.093610331,0.000634744
-3.143912938,0.000445434
-3.194215545,0.00096882
-3.244518152,0.000712695
-3.294820759,0.000634744
-3.345123366,0.003173719
-3.395425973,0.000812918
-3.44572858,0.001158129
-3.496031187,0.001269488
-3.546333794,0.002672606
-3.596636401,0.001737194
-3.646939008,0.003596882
-3.697241615,0.004287305
-3.747544222,0.001269488
-3.797846829,0.000924276
-3.848149436,0.002360802
-3.898452043,0.000289532
-3.94875465,0.00077951
-3.999057257,0.000467706
-4.049359864,0.000579065
-4.099662471,0.00077951
-4.149965078,0.000545657
-4.200267685,0.000879733
