time_ext,rate_ext,minHPD_ext,maxHPD_ext
-0.025010681,1.136057987,0.133280875,1.302602329
-0.075032044,1.136057987,0.133280875,1.302602329
-0.125053407,1.136057987,0.133280875,1.302602329
-0.17507477,1.136057987,0.133280875,1.302602329
-0.225096132,1.136057987,0.133280875,1.302602329
-0.275117495,1.136057987,0.133280875,1.302602329
-0.325138858,1.136057987,0.133280875,1.302602329
-0.37516022,1.136057987,0.133280875,1.302602329
-0.425181583,1.136057987,0.133280875,1.302602329
-0.475202946,1.136057987,0.133280875,1.302602329
-0.525224309,1.136057987,0.133280875,1.302602329
-0.575245671,1.136057987,0.133280875,1.302602329
-0.625267034,1.136057987,0.133280875,1.302602329
-0.675288397,1.136057987,0.133280875,1.302602329
-0.72530976,1.136057987,0.133280875,1.302602329
-0.775331122,1.136057987,0.133280875,1.302602329
-0.825352485,1.136057987,0.133280875,1.302602329
-0.875373848,1.136057987,0.133280875,1.302602329
-0.925395211,1.136057987,0.133280875,1.302602329
-0.975416573,1.136057987,0.133280875,1.302602329
-1.025437936,1.136057987,0.133280875,1.302602329
-1.075459299,0.17877839,0.031723763,1.196550125
-1.125480661,0.164716652,0.000447475,0.467914296
-1.175502024,0.164716652,0.000447475,0.467914296
-1.225523387,0.164716652,0.000447475,0.467914296
-1.27554475,0.164716652,0.000447475,0.467914296
-1.325566112,0.164716652,0.000447475,0.467914296
-1.375587475,0.164716652,0.000447475,0.467914296
-1.425608838,0.164716652,0.000447475,0.467914296
-1.475630201,0.164716652,0.000447475,0.467914296
-1.525651563,0.164716652,0.000447475,0.467914296
-1.575672926,0.164716652,0.000447475,0.467914296
-1.625694289,0.164716652,0.000447475,0.467914296
-1.675715652,0.164716652,0.000447475,0.467914296
-1.725737014,0.164716652,0.000447475,0.467914296
-1.775758377,0.164716652,0.000447475,0.467914296
-1.82577974,0.164716652,0.000447475,0.467914296
-1.875801102,0.164716652,0.000447475,0.467914296
-1.925822465,0.164716652,0.000447475,0.467914296
-1.975843828,0.164716652,0.000447475,0.467914296
-2.025865191,0.164716652,0.000447475,0.467914296
-2.075886553,0.167986553,0.000354511,0.471591983
-2.125907916,0.175882417,0.035223959,0.483229521
-2.175929279,0.175946138,0.035434672,0.483370382
-2.225950642,0.175962042,0.035434672,0.483370382
-2.275972004,0.17627045,0.036826866,0.483727868
-2.325993367,0.176326301,0.036763695,0.483727868
-2.37601473,0.176340121,0.036763695,0.483797994
-2.426036093,0.176374168,0.036763695,0.483797994
-2.476057455,0.1764277,0.035434672,0.482673252
-2.526078818,0.177389192,0.035444799,0.483357376
-2.576100181,0.18023267,0.037083513,0.495868593
-2.626121543,0.18118861,0.035434672,0.500820213
-2.676142906,0.182330697,0.035434672,0.506880552
-2.726164269,0.182646046,0.035434672,0.507332795
-2.776185632,0.182668476,0.035434672,0.507332795
-2.826206994,0.182675346,0.035434672,0.507332795
-2.876228357,0.18295717,0.035326893,0.507949955
-2.92624972,0.182962125,0.035326893,0.507982748
-2.976271083,0.183025974,0.035240594,0.507949955
-3.026292445,0.1830246,0.035235054,0.507949955
