Order,Family,Taxon_name_original,Taxon_name_analysis,Local_Status,Global_Status,MinAge,MaxAge,Site,Island,Source,Criteria
Proboscidea,Elephantidae,Stegoloxodon_celebensis,Stegoloxodon_celebensis,extinct,extinct,0.2,1.8,Bulu Cepo (FVL 12),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Elephantidae,Stegoloxodon_celebensis,Stegoloxodon_celebensis,extinct,extinct,0.2,1.8,FVL 13,Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Artiodactyla,Suidae,Celebochoerus_heekereni,Celebochoerus_heekereni,extinct,extinct,0.2,1.8,FVL 13,Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Stegodontidae,Stegodon_sompoensis,Stegodon_sompoensis,extinct,extinct,0.2,1.8,FVL 13,Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Stegodontidae,Stegodon_cf_S_sompoensis,Stegodon_sompoensis,extinct,extinct,0.2,1.8,FVL 13,Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Artiodactyla,Bovidae,Bubalus_(Anoa)_sp,Bubalus_(Anoa)_sp_extant_anoa,extant,extant,0.0042,0.129,Paroto (FVL 14),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Artiodactyla,Suidae,Celebochoerus_heekereni,Celebochoerus_heekereni,extinct,extinct,0.2,1.8,Paroto (FVL 14),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Elephantidae,Stegoloxodon_celebensis,Stegoloxodon_celebensis,extinct,extinct,0.2,1.8,Paroto (FVL 14),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Stegodontidae,Stegodon_sompoensis,Stegodon_sompoensis,extinct,extinct,1.8,2.5,Batua Sange (FVL 9),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Artiodactyla,Suidae,Celebochoerus_heekereni,Celebochoerus_heekereni,extinct,extinct,1.8,2.5,Lonrong (FVL 24),Sulawesi,Ingicco et al. 2016: Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Stegodontidae,Stegodon_sompoensis,Stegodon_sompoensis,extinct,extinct,1.8,2.5,Lonrong (FVL 24),Sulawesi,Zeitoun et al. 2015,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Stegodontidae,Stegodon_cf_S_sompoensis,Stegodon_sompoensis,extinct,extinct,1.8,2.5,Lonrong (FVL 24),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Elephantidae,Stegoloxodon_celebensis,Stegoloxodon_celebensis,extinct,extinct,1.8,2.5,Lonrong (FVL 24),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Artiodactyla,Bovidae,Bubalus_grovesi,Bubalus_grovesi,extinct,extinct,0.0042,0.129,Sompe (FVL 25),Sulawesi,Rozzi 2017,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Artiodactyla,Suidae,Babyrousa_sp,Babyrousa_celebensis,extant,extant,0.0042,0.129,Sompe (FVL 25),Sulawesi,Hooijer 1948,Other geochronological data or stratigraphy: Biochronology or chronological seriation
