Taxon_name	Status	MinAge	MaxAge	Site
Bubalus_(Anoa)_sp_extant_anoa	extant	0.42	12.9	Lagosi (FVL 31)
Bubalus_grovesi	extinct	0.42	12.9	Ciangkange (FVL 21)
Bubalus_(Anoa)_sp_extant_anoa	extant	0.42	12.9	Paroto (FVL 14)
Bubalus_grovesi	extinct	0.42	12.9	Sompe (FVL 25)
Babyrousa_celebensis	extant	0.42	12.9	Sompe (FVL 25)
Bubalus_grovesi	extinct	0.42	12.9	Beru
Babyrousa_celebensis	extant	0.42	12.9	Beru
Bubalus_(Anoa)_sp_extant_anoa	extant	0.42	12.9	Tanrung River (FVL 29)
Bubalus_grovesi	extinct	0.42	12.9	Celeko (FVL 27)
Hulitherium_tomasetti	extinct	5	12.9	LOB site: Haeapugua Basin
Protemnodon_tumbuna	extinct	5	12.9	LOG site: Haeapugua Basin
Protemnodon_tumbuna	extinct	5	12.9	LOK site: Haeapugua Basin
Rhinoceros_sondaicus	extant	2.5	12.9	Naranvatta: Karmarangapitiiya: Pelmadulla
Panthera_leo_sinhaleyus	extinct	3.9	12.9	Pahala vela: Galadande mandiya: Gonapitiya
Panthera_leo_sinhaleyus	extinct	3.9	12.9	Pan Vila: Edande Vala: Kuruwita
Peromyscus_anyapahensis	extinct	3.7	12.9	Frenchy s Cove (locality 1642)
Oryzomyini_gen_et_sp_indet_Barbados	extinct	0.42	12.9	Ragged Point Lighthouse
Megalomys_audreyae	extinct	1.17	12.9	Pleistocene cave 
Antillomys_rayi	extinct	1.17	12.9	Pleistocene cave 
Palaeoloxodon_cypriotes	extinct	1.17	12.9	Aredhiou (Trodos Mountains)
Palaeoloxodon_xylophagou	extinct	1.17	12.9	AThna Well
Hippopotamus_minor	extinct	1.17	12.9	Ayios Yeoryios Ayios Phanourios
Palaeoloxodon_cypriotes	extinct	1.17	12.9	Ayios Yeoryios Ayios Phanourios
Palaeoloxodon_cypriotes	extinct	1.17	12.9	Ayios Yeoryios Trashas
Palaeoloxodon_cypriotes	extinct	1.17	12.9	Dhikomo Anoyero
Hippopotamus_minor	extinct	1.17	12.9	Dhikomo Anoyero
Hippopotamus_minor	extinct	1.17	12.9	Emba Ayia Phaneromeni
Hippopotamus_minor	extinct	1.17	12.9	Emba Ayios Yeoryios
Palaeoloxodon_cypriotes	extinct	1.17	12.9	Emba Ayios Yeoryios
Hippopotamus_minor	extinct	1.17	12.9	Kapouti (Kalokhorio) Kephalovrysos
Hippopotamus_minor	extinct	1.17	12.9	Kato Arodhes Ayii Phanendes
Hippopotamus_minor	extinct	1.17	12.9	Koutsovendis Ayios Khrysostomos
Hippopotamus_minor	extinct	1.17	12.9	Koutsovendis Ayios Phanoutis
Palaeoloxodon_cypriotes	extinct	1.17	12.9	Koutsovendis Ayios Phanoutis
Hippopotamus_minor	extinct	1.17	12.9	Krini
Palaeoloxodon_cypriotes	extinct	1.17	12.9	Kythrea Kephalovrysi
Mus_cypriacus	extant	1.17	12.9	Kythrea Kephalovrysi
Hippopotamus_minor	extinct	1.17	12.9	Ormidhia VaThkia Laxia
Hippopotamus_minor	extinct	1.17	12.9	Oschin
Hippopotamus_minor	extinct	1.17	12.9	Pano Dhikomo Imbohary
Palaeoloxodon_cypriotes	extinct	1.17	12.9	Pano Dhikomo Imbohary
Hippopotamus_minor	extinct	1.17	12.9	Pano Dhikomo Onisha tou Paskhali Chiftlik
Palaeoloxodon_cypriotes	extinct	1.17	12.9	Pano Dhikomo Onisha tou Paskhali Chiftlik
Palaeoloxodon_cypriotes	extinct	1.17	12.9	Pano Dhikomo Prophitis Elias
Hippopotamus_minor	extinct	1.17	12.9	Pano Dhikomo Prophitis Elias
Hippopotamus_minor	extinct	1.17	12.9	Trapeza
Hippopotamus_minor	extinct	1.17	12.9	TrimiThi
Hippopotamus_minor	extinct	1.17	12.9	Vourno
Hippopotamus_minor	extinct	11.5	12.9	Xylophagou Ayii Saranda
Hippopotamus_minor	extinct	1.17	12.9	Xylophagou Ayios Yeoryios
Palaeoloxodon_cypriotes	extinct	1.17	12.9	Xylophagou Ayios Yeoryios
Hippopotamus_minor	extinct	11.5	12.9	Xylophagou Mavrospilia
Hippopotamus_minor	extinct	11.5	12.9	Xylophagou Spilia tis Englezou
Palaeoloxodon_cypriotes	extinct	1.17	12.9	Xylophagou Spilia tis Englezou
Hippopotamus_minor	extinct	11.5	12.9	Xylophagou Spilia tou Kokkinikremmou
Hippopotamus_minor	extinct	11.5	12.9	Xylophagou Spilios Nikoladjis
Palaeoloxodon_sp_Delos	extinct	1.17	12.9	Inopos river
Candiacervus_cerigensis	extinct	1.17	12.9	Kandilia Cave (Karpathos)
Candiacervus_pigadiensis	extinct	1.17	12.9	Kandilia Cave (Karpathos)
Mus_sp_Karpathos_Kassos	extinct	1.17	12.9	Unknown_locality_Karpathos
Elephantidae_gen_et_sp_indet_KyThnos	extinct	1.17	12.9	unknown locality in norTh west area of the island
Elephantidae_gen_et_sp_indet_Milos	extinct	1.17	12.9	unknown locality
Elephantidae_gen_et_sp_indet_Paros	extinct	1.17	12.9	close to Antikephalos hill
Palaeoloxodon_sp_Rhodes	extinct	1.17	12.9	Apolakkia Formation surface collection
Palaeoloxodon_sp_Rhodes	extinct	1.17	12.9	Erimokastro cave: near Ladiko
Elephantidae_gen_et_sp_indet_Seriphos	extinct	1.17	12.9	unknown locality
Malpaisomys_insularis	extinct	1.17	12.9	 Cofete
Crocidura_canariensis	extant	0	12.9	 Cofete
Canariomys_bravoi	extinct	1.17	12.9	 Bajamar
Nesophontes_edithae	extinct	3.465	12.9	Cueva Clara
Elasmodontomys_obliquus	extinct	3.465	12.9	Cueva Clara
Heteropsomys_insulans	extinct	3.465	12.9	Cueva Clara
Acratocnus_odontrigonus	extinct	3.465	12.9	Cueva Clara
Brachyphylla_cavernarum	extant	0	12.9	Cueva Clara
Stenoderma_rufum	extant	0	12.9	Cueva Clara
Phyllonycteris_major	extinct	3.465	12.9	Cueva Clara
Eptesicus_fuscus	extant	0	12.9	Cueva Clara
Noctilio_leporinus	extant	0	12.9	Cueva Clara
Pteronotus_parnellii	extant	0	12.9	Cueva Clara
Mormoops_blainvillei	extant	0	12.9	Cueva Clara
Macrotus_waterhousii	extant	3.465	12.9	Cueva Clara
Artibeus_jamaicensis	extant	0	12.9	Cueva Clara
Monophyllus_plethodon	extant	3.465	12.9	Cueva Clara
Monophyllus_redmani	extant	0	12.9	Cueva Clara
Tadarida_brasiliensis	extant	0	12.9	Cueva Clara
Acratocnus_odontrigonus	extinct	0.1149	12.9	Cueva de la Vaquita
Elasmodontomys_obliquus	extinct	0.1149	12.9	Cueva de la Vaquita
Elasmodontomys_obliquus	extinct	0.1149	12.9	Snake Cave
Heteropsomys_insulans	extinct	0.1036	12.9	Snake Cave
Acratocnus_odontrigonus	extinct	0.1149	12.9	Cueva Cucaracha
Elasmodontomys_obliquus	extinct	0.1149	12.9	Cueva Cucaracha
Heteropsomys_insulans	extinct	0.1036	12.9	Cueva Cucaracha
Nesophontes_edithae	extinct	0.0797	12.9	Cueva Cucaracha
Elasmodontomys_obliquus	extinct	0.1149	12.9	Sinkhole Cave
Elasmodontomys_obliquus	extinct	0.1149	12.9	Cueva Arcilla
Elasmodontomys_obliquus	extinct	0.1149	12.9	Monte Grande
Nesophontes_edithae	extinct	0.0797	12.9	Monte Grande
Noctilio_leporinus	extant	0	12.9	Monte Grande
Pteronotus_parnellii	extant	0	12.9	Monte Grande
Monophyllus_redmani	extant	0	12.9	Monte Grande
Brachyphylla_cavernarum	extant	0	12.9	Monte Grande
Eptesicus_fuscus	extant	0	12.9	Monte Grande
Artibeus_jamaicensis	extant	0	12.9	Monte Grande
Acratocnus_odontrigonus	extinct	0.1149	12.9	Cueva del Perezoso
Elasmodontomys_obliquus	extinct	0.1149	12.9	Cueva del Perezoso
Heteropsomys_insulans	extinct	0.115	12.9	Cueva de la Ceiba
Elasmodontomys_obliquus	extinct	0.115	12.9	Cueva de la Ceiba
Acratocnus_odontrigonus	extinct	0.115	12.9	Cueva de la Ceiba
Elasmodontomys_obliquus	extinct	0.1149	12.9	Hacienda Jobo
Acratocnus_odontrigonus	extinct	0.1149	12.9	Hacienda Jobo
Nesophontes_edithae	extinct	0.0797	12.9	Hacienda Jobo
Nesophontes_edithae	extinct	0.0797	12.9	Cueva Catedral
Phyllonycteris_major	extinct	0.2349	12.9	Cueva Catedral
Monophyllus_plethodon	extant	0.2349	12.9	Cueva Catedral
Pteronotus_parnellii	extant	0	12.9	Cueva Catedral
Monophyllus_redmani	extant	0	12.9	Cueva Catedral
Brachyphylla_cavernarum	extant	0	12.9	Cueva Catedral
Eptesicus_fuscus	extant	0	12.9	Cueva Catedral
Stenoderma_rufum	extant	0	12.9	Cueva Catedral
Acratocnus_odontrigonus	extinct	0.1149	12.9	Cave 72
Elasmodontomys_obliquus	extinct	0.1149	12.9	Cave 72
Heteropsomys_insulans	extinct	0.1036	12.9	Cave 72
Acratocnus_odontrigonus	extinct	0.1149	12.9	Nesophontes Minor Cave
Elasmodontomys_obliquus	extinct	0.1149	12.9	Morovis
Acratocnus_odontrigonus	extinct	0.1149	12.9	Morovis
Heteropsomys_insulans	extinct	0.1036	12.9	Morovis
Pteronotus_parnellii	extant	0	12.9	Morovis
Monophyllus_redmani	extant	0	12.9	Morovis
Brachyphylla_cavernarum	extant	0	12.9	Morovis
Eptesicus_fuscus	extant	0	12.9	Morovis
Nesophontes_edithae	extinct	0.0797	12.9	Utuado
Elasmodontomys_obliquus	extinct	0.1149	12.9	Utuado
Heteropsomys_antillensis	extinct	0.42	12.9	Utuado
Acratocnus_odontrigonus	extinct	0.1149	12.9	Utuado
Heteropsomys_antillensis	extinct	0.42	12.9	Ciales
Nesophontes_edithae	extinct	0.0797	12.9	Ciales
