Taxon_name	Status	MinAge	MaxAge	Site
Stegodon_protoaurorae	extinct	24	25.8	Takedani: Ichinomiya City: Awaji: Hyogo Prefecture
Stegodon_aurorae	extinct	18	25.8	Kameda: Yamamoto City: Mitoyo: Kagawa Prefecture
Stegodon_aurorae	extinct	18	25.8	Iruhi: Saita City: Mitoyo: Kagawa Prefecture
Bos_primigenius	extinct	0.117	25.8	Nishiginza: Chuo ku: Tokyo Prefecture
Equus_sp_Hondo	extinct	0.117	25.8	Sasagawa: Tounosho City: Yadohama: Katori district: Chiba Prefecture
Anourosorex_japonicus	extinct	0.117	25.8	Tokuyama Soda Sekkai Quarry: Isa City: Yamaguchi Prefecture
Mogera_wogura	extant	0.117	25.8	Tokuyama Soda Sekkai Quarry: Isa City: Yamaguchi Prefecture
Urotrichus_talpoides	extant	0.117	25.8	Tokuyama Soda Sekkai Quarry: Isa City: Yamaguchi Prefecture
Crocidura_dsinezumi	extant	0.117	25.8	Tokuyama Soda Sekkai Quarry: Isa City: Yamaguchi Prefecture
Sorex_shinto	extant	0.117	25.8	Tokuyama Soda Sekkai Quarry: Isa City: Yamaguchi Prefecture
Anourosorex_japonicus	extinct	0.117	25.8	Tokuyama Soda Sekkai Quarry: Isa City: Yamaguchi Prefecture
Microtus_montebelli	extant	0.117	25.8	Tokuyama Soda Sekkai Quarry: Isa City: Yamaguchi Prefecture
Mustela_erminea	extant	0.117	25.8	Tokuyama Soda Sekkai Quarry: Isa City: Yamaguchi Prefecture
Cervus_praenipponicus	extinct	0.117	25.8	Tokuyama Soda Sekkai Quarry: Isa City: Yamaguchi Prefecture
Hypolagus_peregrinus	extinct	7.74	25.8	Monte Pellegrino
Asoriculus_burgioi	extinct	7.74	25.8	Monte Pellegrino
Mustelercta_arzilla	extinct	7.74	25.8	Monte Pellegrino
Apodemus_maximus	extinct	7.74	25.8	Monte Pellegrino
Pellegrinia_panormensis	extinct	7.74	25.8	Monte Pellegrino
Maltamys_sp_MP	extinct	7.74	25.8	Monte Pellegrino
Leithia_sp_MP	extinct	7.74	25.8	Monte Pellegrino
Celebochoerus_heekereni	extinct	18	25	Ciangkange (FVL 22)
Stegodon_sompoensis	extinct	18	25	Ciangkange (FVL 22)
Stegoloxodon_celebensis	extinct	18	25	Ciangkange (FVL 22)
Stegoloxodon_celebensis	extinct	18	25	Ciangkange (FVL 23)
Celebochoerus_heekereni	extinct	18	25	Ciangkange (FVL 23)
Celebochoerus_heekereni	extinct	18	25	Bulu Cepo (FVL 11)
Stegodon_sompoensis	extinct	18	25	Bulu Cepo (FVL 11)
Stegodon_sompoensis	extinct	18	25	Bulu Cepo (FVL 11)
Stegoloxodon_celebensis	extinct	18	25	Bulu Cepo (FVL 11)
Stegodon_sompoensis	extinct	18	25	Batua Sange (FVL 9)
Celebochoerus_heekereni	extinct	18	25	Lonrong (FVL 24)
Stegodon_sompoensis	extinct	18	25	Lonrong (FVL 24)
Stegodon_sompoensis	extinct	18	25	Lonrong (FVL 24)
Stegoloxodon_celebensis	extinct	18	25	Lonrong (FVL 24)
Celebochoerus_heekereni	extinct	18	25	Sompe (FVL 25)
Stegodon_sompoensis	extinct	18	25	Sompe (FVL 25)
Stegoloxodon_celebensis	extinct	18	25	Sompe (FVL 25)
Stegoloxodon_celebensis	extinct	18	25	Sabbang Baru (FVL 26)
Celebochoerus_heekereni	extinct	18	25	Sabbang Baru (FVL 26)
Stegoloxodon_celebensis	extinct	18	25	Lepangeng (FVL 1a b)
Celebochoerus_heekereni	extinct	18	25	Lepangeng (FVL 1a b)
Celebochoerus_heekereni	extinct	18	25	Sare Batue (FVL 3/4/4a)
Stegodon_sompoensis	extinct	18	25	Sare Batue (FVL 3/4/4a)
Stegoloxodon_celebensis	extinct	18	25	Sare Batue (FVL 3/4/4a)
Stegodon_sompoensis	extinct	18	25	Sare Batue (FVL 3/4/4a)
Stegodon_sompoensis	extinct	2	25	Calio (FVL 20)
Stegoloxodon_celebensis	extinct	2	25	Calio (FVL 20)
Stegoloxodon_celebensis	extinct	2	25	Celeko (FVL 27)
Stegodon_sompoensis	extinct	2	25	Celeko (FVL 27)
Stegodon_sompoensis	extinct	18	25	Bulu Barere (FVL 28)
Celebochoerus_heekereni	extinct	18	25	Bulu Barere (FVL 28)
Stegodon_protoaurorae	extinct	23	25	Saizaki or Manzai: Tsushi: Goshikicho: Sumoto: Hyogo Prefecture
Cervus_kyushuensis	extinct	23	25	Saizaki or Manzai: Tsushi: Goshikicho: Sumoto: Hyogo Prefecture
Myotragus_aff_M_kopperi	extinct	7.74	24	Cova des Pas de Vallgornera
Hypnomys_onicensis	extinct	7.74	24	Cova des Pas de Vallgornera
Hypnomys_morpheus	extinct	7.74	24	Cova des Pas de Vallgornera
