Taxon_name	Status	MinAge	MaxAge	Site
Praemegaceros_cazioti	extinct	0.0198	0.0318	Funtaneddu
Asoriculus_corsicanus	extinct	0.0198	0.0318	Funtaneddu
Algarolutra_majori	extinct	0.32	0.46	Grotta del Margine/Nonza
Praemegaceros_cazioti	extinct	0.32	0.46	Grotta del Margine/Nonza
Praemegaceros_cazioti	extinct	0.0468	0.46	Moulin de Brietta Cave
Praemegaceros_cazioti	extinct	0.0468	0.46	Capo Sacro Cave
Praemegaceros_cazioti	extinct	0.0468	0.46	Gritulu Cave
Cynotherium_sardous	extinct	0.0468	0.46	Gritulu Cave
Asoriculus_corsicanus	extinct	0.0468	0.46	Gritulu Cave
Prolagus_sardus	extinct	0.0468	0.46	Gritulu Cave
Microtus_(Tyrrhenicola)_henseli	extinct	0.0468	0.46	Gritulu Cave
Rhagamys_orthodon	extinct	0.0468	0.46	Gritulu Cave
Asoriculus_corsicanus	extinct	0.025764	0.038132	Monte Leone
Prolagus_sardus	extinct	0.025764	0.038132	Monte Leone
Microtus_(Tyrrhenicola)_henseli	extinct	0.025764	0.038132	Monte Leone
Rhagamys_orthodon	extinct	0.025764	0.038132	Monte Leone
Asoriculus_corsicanus	extinct	0.007888	0.0114	Monte di Tuda
Prolagus_sardus	extinct	0.007888	0.0114	Monte di Tuda
Rhagamys_orthodon	extinct	0.007888	0.0114	Monte di Tuda
Microtus_(Tyrrhenicola)_henseli	extinct	0.007888	0.0114	Monte di Tuda
Asoriculus_corsicanus	extinct	0.006736	0.008724	Monte di Tuda
Prolagus_sardus	extinct	0.006736	0.008724	Monte di Tuda
Rhagamys_orthodon	extinct	0.006736	0.008724	Monte di Tuda
Microtus_(Tyrrhenicola)_henseli	extinct	0.006736	0.008724	Monte di Tuda
Prolagus_sardus	extinct	0.032772	0.03524	Basi 
Rhagamys_orthodon	extinct	0.0198	0.0238	Terrina
Microtus_(Tyrrhenicola)_henseli	extinct	0.0238	0.0278	Araguina Sennola
Rhagamys_orthodon	extinct	0.0238	0.0278	Araguina Sennola
Asoriculus_corsicanus	extinct	0.0238	0.0278	Araguina Sennola
Prolagus_sardus	extinct	0.0238	0.0278	Araguina Sennola
Microtus_(Tyrrhenicola)_henseli	extinct	0.0198	0.0238	Araguina Sennola
Rhagamys_orthodon	extinct	0.0198	0.0238	Araguina Sennola
Asoriculus_corsicanus	extinct	0.0198	0.0238	Araguina Sennola
